00TG               20151204                                                                                   
0601TGA1N       20160101000310100000005000 0100000500000160   
0601TGA1N       20160101000315100000005000 0100000560000176   
0601TGA1N       20160101000320100000005000 0100000620000192   
0601TGA1N       20160101000325100000005000 0100000690000211   
0601TGA1N       20160101000330100000005000 0100000760000229   
0601TGA1N       20160101000335100000005000 0100000830000246   
0601TGA1N       20160101000340100000005000 0100000920000269   
0601TGA1N       20160101000345100000005000 0100001000000288   
0601TGA1N       20160101000350100000005000 0100001080000306   
0601TGA1N       20160101000355100000005000 0100001170000327   
0601TGA1N       20160101000360100000005000 0100001250000345   
0601TGA1N       20160101000365100000005000 0100001330000362   
0601TGA1N       20160101000370100000005000 0100001410000379   
0601TGA1N       20160101000375100000005000 0100001490000395   
0601TGA1N       20160101000380100000005000 0100001580000413   
0601TGA1N       20160101000385100000005000 0100001660000428   
0601TGA1N       20160101000390100000005000 0100001740000443   
0601TGA1N       20160101000395100000005000 0100001820000458   
0601TGA1N       20160101000400100000005000 0100001900000472   
0601TGA1N       20160101000405100000005000 0100001990000488   
0601TGA1N       20160101000410100000005000 0100002070000502   
0601TGA1N       20160101000415100000005000 0100002150000515   
0601TGA1N       20160101000420100000005000 0100002230000528   
0601TGA1N       20160101000425100000005000 0100002310000540   
0601TGA1N       20160101000430100000005000 0100002400000555   
0601TGA1N       20160101000435100000005000 0100002480000567   
0601TGA1N       20160101000440100000005000 0100002560000579   
0601TGA1N       20160101000445100000005000 0100002640000590   
0601TGA1N       20160101000450100000005000 0100002720000601   
0601TGA1N       20160101000455100000005000 0100002810000614   
0601TGA1N       20160101000460100000005000 0100002890000625   
0601TGA1N       20160101000465100000005000 0100002970000635   
0601TGA1N       20160101000470100000005000 0100003060000648   
0601TGA1N       20160101000475100000005000 0100003150000660   
0601TGA1N       20160101000480100000005000 0100003240000672   
0601TGA1N       20160101000485100000005000 0100003330000683   
0601TGA1N       20160101000490100000005000 0100003420000694   
0601TGA1N       20160101000495100000005000 0100003520000708   
0601TGA1N       20160101000500100000005000 0100003620000720   
0601TGA1N       20160101000505100000005000 0100003710000731   
0601TGA1N       20160101000510100000005000 0100003810000743   
0601TGA1N       20160101000515100000005000 0100003900000754   
0601TGA1N       20160101000520100000005000 0100004000000766   
0601TGA1N       20160101000525100000005000 0100004090000775   
0601TGA1N       20160101000530100000005000 0100004190000787   
0601TGA1N       20160101000535100000005000 0100004290000798   
0601TGA1N       20160101000540100000005000 0100004390000809   
0601TGA1N       20160101000545100000005000 0100004490000820   
0601TGA1N       20160101000550100000005000 0100004590000831   
0601TGA1N       20160101000555100000005000 0100004700000843   
0601TGA1N       20160101000560100000005000 0100004800000853   
0601TGA1N       20160101000565100000005000 0100004900000863   
0601TGA1N       20160101000570100000005000 0100005000000873   
0601TGA1N       20160101000575100000005000 0100005090000881   
0601TGA1N       20160101000580100000005000 0100005190000891   
0601TGA1N       20160101000585100000005000 0100005300000902   
0601TGA1N       20160101000590100000005000 0100005400000911   
0601TGA1N       20160101000595100000005000 0100005500000921   
0601TGA1N       20160101000600100000005000 0100005600000929   
0601TGA1N       20160101000605100000005000 0100005710000940   
0601TGA1N       20160101000610100000005000 0100005790000945   
0601TGA1N       20160101000615100000005000 0100005900000955   
0601TGA1N       20160101000620100000005000 0100006000000964   
0601TGA1N       20160101000625100000005000 0100006100000972   
0601TGA1N       20160101000630100000005000 0100006200000980   
0601TGA1N       20160101000635100000005000 0100006310000990   
0601TGA1N       20160101000640100000005000 0100006410000998   
0601TGA1N       20160101000645100000005000 0100006500001004   
0601TGA1N       20160101000650100000005000 0100006600001011   
0601TGA1N       20160101000655100000005000 0100006700001019   
0601TGA1N       20160101000660100000005000 0100006800001026   
0601TGA1N       20160101000665100000005000 0100006910001035   
0601TGA1N       20160101000670100000005000 0100007010001042   
0601TGA1N       20160101000675100000005000 0100007110001049   
0601TGA1N       20160101000680100000005000 0100007200001055   
0601TGA1N       20160101000685100000005000 0100007300001062   
0601TGA1N       20160101000690100000005000 0100007410001070   
0601TGA1N       20160101000695100000005000 0100007510001077   
0601TGA1N       20160101000700100000005000 0100007610001083   
0601TGA1N       20160101000705100000005000 0100007710001090   
0601TGA1N       20160101000710100000005000 0100007810001096   
0601TGA1N       20160101000715100000005000 0100007890001100   
0601TGA1N       20160101000720100000005000 0100007990001106   
0601TGA1N       20160101000725100000005000 0100008090001112   
0601TGA1N       20160101000730100000005000 0100008190001118   
0601TGA1N       20160101000735100000005000 0100008290001124   
0601TGA1N       20160101000740100000005000 0100008390001130   
0601TGA1N       20160101000745100000005000 0100008500001137   
0601TGA1N       20160101000750100000005000 0100008580001140   
0601TGA1N       20160101000755100000005000 0100008680001146   
0601TGA1N       20160101000760100000005000 0100008780001151   
0601TGA1N       20160101000765100000005000 0100008880001157   
0601TGA1N       20160101000770100000005000 0100008980001162   
0601TGA1N       20160101000775100000005000 0100009080001168   
0601TGA1N       20160101000780100000005000 0100009180001173   
0601TGA1N       20160101000785100000005000 0100009260001176   
0601TGA1N       20160101000790100000005000 0100009360001181   
0601TGA1N       20160101000795100000005000 0100009460001186   
0601TGA1N       20160101000800100000005000 0100009560001191   
0601TGA1N       20160101000805100000005000 0100009660001196   
0601TGA1N       20160101000810100000005000 0100009760001201   
0601TGA1N       20160101000815100000005000 0100009860001206   
0601TGA1N       20160101000820100000005000 0100009940001209   
0601TGA1N       20160101000825100000005000 0100010040001213   
0601TGA1N       20160101000830100000005000 0100010140001218   
0601TGA1N       20160101000835100000005000 0100010240001223   
0601TGA1N       20160101000840100000005000 0100010340001227   
0601TGA1N       20160101000845100000005000 0100010440001232   
0601TGA1N       20160101000850100000005000 0100010550001238   
0601TGA1N       20160101000855100000005000 0100010650001242   
0601TGA1N       20160101000860100000005000 0100010760001248   
0601TGA1N       20160101000865100000005000 0100010870001253   
0601TGA1N       20160101000870100000005000 0100010990001260   
0601TGA1N       20160101000875100000005000 0100011100001265   
0601TGA1N       20160101000880100000005000 0100011230001273   
0601TGA1N       20160101000885100000005000 0100011340001278   
0601TGA1N       20160101000890100000005000 0100011460001284   
